donor	estimator	miobs	minullmean	minullstd	deltac	zc	epsilon95	epsilon99
s1d1GSE194122	KSGk5	0.27460779233287447	0.2619286364399908	0.006184596850653372	0.012679155892883653	2.050118415001321	0.010066044428280574	0.017393612105449652
s1d1GSE194122	KSGk10	0.2781756219973328	0.26426909625810246	0.004340742379223766	0.013906525739230347	3.203720590697019	0.006497934623887314	0.010112993487031874
s1d1GSE194122	KSGk20	0.2836659825022583	0.26861903866031034	0.002673199284360435	0.015046943841947935	5.628814854911921	0.004817108989293439	0.006568455041878973
s1d1GSE194122	Histb20	0.2736504355830355	0.2708317667370243	0.002508381190802684	0.002818668846011174	1.1237003595570727	0.003983977865817168	0.006650601642594067
s1d1GSE194122	Histb40	0.3655965981000726	0.36328330772881967	0.003827308339454227	0.0023132903712529407	0.6044170383154484	0.005810389180535613	0.009101384861392503
